date,open,high,low,close,volume,parkinson_volatility
2019-03-05,32077.16237207602,32643.22994334796,31982.817776864034,32265.8515625,2071350,0.0122746708764566
2019-03-06,32265.85098505435,32548.884765625,31888.472610960143,32548.884765625,1289640,0.0123106167893521
2019-03-07,32454.54178571429,33445.16006696429,32454.54178571429,33020.609375,2793560,0.0180568867170016
2019-03-08,32596.05732731448,33209.29719020173,32548.885030169306,32737.57421875,1264280,0.0120633279171958
2019-03-11,32548.882262323943,33492.328125,32313.02079665493,33492.328125,2248780,0.0215277960705126
2019-03-12,33586.67434434605,34718.809434604904,33586.67434434605,34624.46484375,3752290,0.0199099295545315
2019-03-13,34765.984137318126,35756.60240988757,34718.811838624344,35662.2578125,4918140,0.0176884894508839
2019-03-14,35662.25612664474,37690.664874588816,35567.9115337171,35850.9453125,4400440,0.0348136788754981
2019-03-15,35756.60103125,35850.945625,34954.671984375,35379.22265625,2999450,0.0152048932556414
2019-03-18,35850.9453125,36322.66827713816,35473.566940789475,35850.9453125,1512670,0.0142057893745839
2019-03-19,35850.94392407162,35992.460807982425,34907.49803133289,35567.91015625,1903060,0.0183818843088743
2019-03-20,35001.84394450207,35096.188537344395,33681.019644709544,34105.5703125,4855120,0.0247179415872044
2019-03-21,34105.57055876359,34577.29352638134,32548.884765625,32548.884765625,3612740,0.0363063896861268
2019-03-22,33303.643169642855,33492.33236607143,32831.920178571425,33020.609375,2962930,0.0119603623798616
2019-03-25,32077.161731634184,32360.1955116192,30709.165128373315,31463.921875,5659310,0.0314501804539263
2019-03-26,31982.817023651216,31982.817023651216,30143.097460343844,31039.37109375,3098380,0.035578947476179
2019-03-27,31322.40385677467,32454.5389359352,30850.68090712445,32029.98828125,2343980,0.0304373345585525
2019-03-28,31746.955765763683,32313.023327708943,31605.438875277367,31888.47265625,1706660,0.0132971012234412
2019-03-29,32124.333264654084,33256.46835768154,31888.47178694003,32643.228515625,4544300,0.0252264092987817
2019-04-01,32831.91871537396,34105.57073450485,32737.574121364265,34058.3984375,3530060,0.0245853311622618
2019-04-02,34341.429123263886,35096.185807291666,33869.70619574653,33964.05078125,3250020,0.0213628423337924
2019-04-03,33681.01729753521,33869.70647007042,33162.12207306338,33492.328125,2601580,0.0126794548697539
2019-04-04,33492.328125,34105.56793573944,33303.63895246479,33492.328125,1858440,0.0142897440880402
2019-04-05,33822.53557633554,34199.913937019905,33633.846395993365,33775.36328125,1466970,0.0100235072971192
2019-04-08,33775.36328125,34152.74164193436,33397.98492056564,33775.36328125,1168690,0.0134209206174006
2019-04-09,34152.74197299494,34199.91426853775,32454.53933345376,32643.228515625,3127600,0.0314590876197844
